Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model for
"average LMC" dust with C/H = b_C = 20.e-6 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

Calculated by B.T. Draine, Princeton University, 2001.07.05

References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron) [2401 values from 1.e-2 to 1.e4 um]
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)

 lambda   albedo    g     C_ext/H    K_abs
(micron)                  (cm^2/H)  (cm^2/g)
--------- ------  ------ --------- ---------
2.188E-02 0.2937  0.9457 2.977E-22 3.850E+04
2.200E-02 0.2930  0.9451 2.988E-22 3.867E+04
2.213E-02 0.2924  0.9446 2.999E-22 3.885E+04
2.226E-02 0.2917  0.9440 3.010E-22 3.903E+04
2.239E-02 0.2909  0.9434 3.021E-22 3.922E+04
2.252E-02 0.2902  0.9429 3.032E-22 3.940E+04
2.265E-02 0.2892  0.9423 3.042E-22 3.960E+04
2.278E-02 0.2881  0.9418 3.053E-22 3.979E+04
2.291E-02 0.2869  0.9413 3.063E-22 4.000E+04
2.304E-02 0.2891  0.9414 3.039E-22 3.956E+04
2.317E-02 0.2892  0.9406 3.056E-22 3.977E+04
2.331E-02 0.2891  0.9397 3.073E-22 4.000E+04
2.344E-02 0.2888  0.9389 3.089E-22 4.022E+04
2.358E-02 0.2882  0.9382 3.104E-22 4.045E+04
2.371E-02 0.2876  0.9374 3.119E-22 4.068E+04
2.385E-02 0.2870  0.9367 3.133E-22 4.090E+04
2.399E-02 0.2864  0.9360 3.148E-22 4.113E+04
2.413E-02 0.2857  0.9353 3.162E-22 4.136E+04
2.427E-02 0.2850  0.9346 3.177E-22 4.159E+04
2.441E-02 0.2843  0.9338 3.192E-22 4.182E+04
2.455E-02 0.2836  0.9331 3.206E-22 4.206E+04
2.469E-02 0.2828  0.9324 3.221E-22 4.229E+04
2.483E-02 0.2821  0.9317 3.235E-22 4.253E+04
2.497E-02 0.2813  0.9309 3.250E-22 4.277E+04
2.512E-02 0.2806  0.9302 3.265E-22 4.301E+04
2.526E-02 0.2798  0.9295 3.279E-22 4.325E+04
2.541E-02 0.2790  0.9287 3.294E-22 4.349E+04
2.556E-02 0.2782  0.9280 3.309E-22 4.373E+04
2.570E-02 0.2774  0.9273 3.323E-22 4.397E+04
2.585E-02 0.2766  0.9265 3.338E-22 4.422E+04
2.600E-02 0.2758  0.9258 3.353E-22 4.446E+04
2.615E-02 0.2750  0.9251 3.368E-22 4.471E+04
2.630E-02 0.2741  0.9243 3.383E-22 4.496E+04
2.645E-02 0.2733  0.9236 3.398E-22 4.521E+04
2.661E-02 0.2725  0.9228 3.413E-22 4.546E+04
2.676E-02 0.2717  0.9221 3.427E-22 4.571E+04
2.692E-02 0.2708  0.9213 3.442E-22 4.596E+04
2.707E-02 0.2700  0.9206 3.457E-22 4.621E+04
2.723E-02 0.2692  0.9198 3.472E-22 4.646E+04
2.738E-02 0.2684  0.9191 3.487E-22 4.671E+04
2.754E-02 0.2676  0.9183 3.502E-22 4.696E+04
2.770E-02 0.2667  0.9176 3.517E-22 4.722E+04
2.786E-02 0.2659  0.9168 3.532E-22 4.747E+04
2.802E-02 0.2651  0.9161 3.547E-22 4.773E+04
2.818E-02 0.2643  0.9153 3.562E-22 4.798E+04
2.835E-02 0.2634  0.9145 3.577E-22 4.824E+04
2.851E-02 0.2626  0.9137 3.593E-22 4.851E+04
2.867E-02 0.2618  0.9130 3.608E-22 4.877E+04
2.884E-02 0.2609  0.9122 3.624E-22 4.904E+04
2.901E-02 0.2601  0.9114 3.639E-22 4.930E+04
2.917E-02 0.2593  0.9106 3.655E-22 4.957E+04
2.934E-02 0.2584  0.9099 3.670E-22 4.984E+04
2.951E-02 0.2576  0.9091 3.686E-22 5.011E+04
2.968E-02 0.2567  0.9083 3.702E-22 5.038E+04
2.985E-02 0.2559  0.9075 3.718E-22 5.065E+04
3.003E-02 0.2551  0.9067 3.734E-22 5.092E+04
3.020E-02 0.2542  0.9059 3.750E-22 5.120E+04
3.037E-02 0.2534  0.9051 3.765E-22 5.147E+04
3.055E-02 0.2526  0.9043 3.781E-22 5.175E+04
3.073E-02 0.2517  0.9035 3.797E-22 5.202E+04
3.090E-02 0.2509  0.9027 3.813E-22 5.230E+04
3.108E-02 0.2501  0.9019 3.829E-22 5.258E+04
3.126E-02 0.2493  0.9011 3.845E-22 5.286E+04
3.144E-02 0.2485  0.9003 3.862E-22 5.313E+04
3.162E-02 0.2477  0.8995 3.878E-22 5.341E+04
3.181E-02 0.2469  0.8987 3.894E-22 5.369E+04
3.199E-02 0.2461  0.8979 3.910E-22 5.397E+04
3.217E-02 0.2453  0.8971 3.926E-22 5.426E+04
3.236E-02 0.2445  0.8963 3.943E-22 5.454E+04
3.255E-02 0.2437  0.8955 3.959E-22 5.482E+04
3.273E-02 0.2429  0.8947 3.975E-22 5.510E+04
3.292E-02 0.2421  0.8939 3.991E-22 5.539E+04
3.311E-02 0.2413  0.8931 4.008E-22 5.567E+04
3.330E-02 0.2405  0.8923 4.024E-22 5.596E+04
3.350E-02 0.2398  0.8915 4.040E-22 5.624E+04
3.369E-02 0.2390  0.8907 4.057E-22 5.653E+04
3.388E-02 0.2382  0.8899 4.073E-22 5.681E+04
3.408E-02 0.2374  0.8891 4.090E-22 5.710E+04
3.428E-02 0.2366  0.8883 4.106E-22 5.739E+04
3.447E-02 0.2359  0.8875 4.122E-22 5.768E+04
3.467E-02 0.2351  0.8866 4.139E-22 5.797E+04
3.487E-02 0.2343  0.8858 4.156E-22 5.826E+04
3.508E-02 0.2336  0.8850 4.172E-22 5.855E+04
3.528E-02 0.2329  0.8842 4.189E-22 5.883E+04
3.548E-02 0.2320  0.8835 4.206E-22 5.914E+04
3.569E-02 0.2311  0.8828 4.225E-22 5.948E+04
3.589E-02 0.2303  0.8821 4.242E-22 5.978E+04
3.610E-02 0.2297  0.8815 4.256E-22 6.003E+04
3.631E-02 0.2291  0.8808 4.268E-22 6.024E+04
3.652E-02 0.2289  0.8802 4.275E-22 6.036E+04
3.673E-02 0.2291  0.8796 4.271E-22 6.028E+04
3.694E-02 0.2295  0.8790 4.266E-22 6.019E+04
3.715E-02 0.2299  0.8784 4.260E-22 6.007E+04
3.737E-02 0.2304  0.8777 4.254E-22 5.994E+04
