    lam[um]     A_lam/A_V
      867.628  1.25468e-05
      879.360  1.22577e-05
      891.251  1.19734e-05
      903.303  1.16973e-05
      915.518  1.14339e-05
      927.898  1.11750e-05
      940.445  1.09205e-05
      953.162  1.06702e-05
      966.051  1.04241e-05
      979.114  1.01821e-05
      992.354  9.94420e-06
      1005.77  9.71817e-06
      1019.37  9.50582e-06
      1033.16  9.29696e-06
      1047.13  9.09147e-06
      1061.29  8.88936e-06
      1075.64  8.69052e-06
      1090.18  8.49493e-06
      1104.93  8.30253e-06
      1119.87  8.11327e-06
      1135.01  7.92710e-06
      1150.36  7.74396e-06
      1165.91  7.56383e-06
      1181.68  7.38664e-06
      1197.66  7.21235e-06
      1213.85  7.04778e-06
      1230.27  6.88723e-06
      1246.90  6.73309e-06
      1263.77  6.58659e-06
      1280.86  6.44247e-06
      1298.18  6.30066e-06
      1315.73  6.16115e-06
      1333.52  6.02389e-06
      1351.55  5.88887e-06
      1369.83  5.75601e-06
      1388.35  5.62531e-06
      1407.13  5.49673e-06
      1426.15  5.37023e-06
      1445.44  5.24579e-06
      1464.99  5.12334e-06
      1484.80  5.00289e-06
      1504.87  4.88765e-06
      1525.22  4.78413e-06
      1545.85  4.68228e-06
      1566.75  4.58204e-06
      1587.94  4.48342e-06
      1609.41  4.38636e-06
      1631.17  4.29086e-06
      1653.23  4.19687e-06
      1675.59  4.10439e-06
      1698.24  4.01340e-06
      1721.21  3.92384e-06
      1744.48  3.83574e-06
      1768.07  3.74904e-06
      1791.98  3.66375e-06
      1816.21  3.57980e-06
      1840.77  3.49720e-06
      1865.66  3.41593e-06
      1890.89  3.33595e-06
      1916.46  3.25728e-06
      1942.38  3.17984e-06
      1968.64  3.10366e-06
      1995.26  3.02871e-06
      2022.24  2.96466e-06
      2049.59  2.90366e-06
      2077.30  2.84356e-06
      2105.39  2.78433e-06
      2133.86  2.72595e-06
      2162.72  2.66846e-06
      2191.96  2.61178e-06
      2221.60  2.55594e-06
      2251.65  2.50091e-06
      2282.09  2.44670e-06
      2312.95  2.39327e-06
      2344.23  2.34064e-06
      2375.93  2.28876e-06
      2408.06  2.23765e-06
      2440.62  2.18729e-06
      2473.62  2.13766e-06
      2507.07  2.09241e-06
      2540.97  2.04862e-06
      2575.33  2.00548e-06
      2610.16  1.96298e-06
      2645.45  1.92112e-06
      2681.23  1.87987e-06
      2717.48  1.83924e-06
      2754.23  1.79921e-06
      2791.47  1.75978e-06
      2829.22  1.72093e-06
      2867.48  1.68266e-06
      2906.25  1.64496e-06
      2945.55  1.60782e-06
      2985.38  1.57124e-06
      3025.75  1.53764e-06
      3066.67  1.50591e-06
      3108.14  1.47466e-06
      3150.17  1.44388e-06
      3192.76  1.41356e-06
      3235.94  1.38370e-06
      3279.69  1.35429e-06
      3324.04  1.32532e-06
      3368.99  1.29679e-06
      3414.55  1.26869e-06
      3460.72  1.24102e-06
      3507.52  1.21376e-06
      3554.95  1.18692e-06
      3603.02  1.16048e-06
      3651.74  1.13444e-06
      3701.12  1.10880e-06
      3751.17  1.08354e-06
      3801.89  1.05867e-06
      3853.30  1.03417e-06
      3905.41  1.01005e-06
      3958.22  9.86291e-07
      4011.75  9.63510e-07
      4065.99  9.43140e-07
      4120.98  9.23084e-07
      4176.70  9.03338e-07
      4233.18  8.83896e-07
      4290.42  8.64753e-07
      4348.44  8.45906e-07
      4407.24  8.27347e-07
      4466.84  8.09077e-07
      4527.24  7.91090e-07
      4588.46  7.73378e-07
      4650.50  7.55942e-07
      4713.39  7.38773e-07
      4777.13  7.21872e-07
      4841.72  7.05231e-07
      4907.20  6.88846e-07
      4973.55  6.72717e-07
      5040.81  6.57805e-07
      5108.97  6.43733e-07
      5178.06  6.29882e-07
      5248.07  6.16247e-07
      5319.04  6.02829e-07
      5390.97  5.89619e-07
      5463.87  5.76617e-07
      5537.75  5.63819e-07
      5612.63  5.51221e-07
